latitude,longitude,mean,var
41.050000168867896,14.949999911272805,2.771,0.35
41.15000016314356,10.050000191765244,1.937,0.408
41.15000016314356,10.150000186040907,1.901,0.469
41.15000016314356,10.250000180316572,1.858,0.577
41.15000016314356,10.350000174592235,1.825,0.569
41.15000016314356,10.450000168867902,1.771,0.569
41.15000016314356,10.550000163143563,1.742,0.535
41.15000016314356,10.65000015741923,1.687,0.504
41.15000016314356,10.750000151694897,1.653,0.418
41.15000016314356,10.85000014597056,1.71,0.526
41.15000016314356,10.950000140246225,1.704,0.463
41.15000016314356,11.050000134521888,1.735,0.579
41.15000016314356,11.150000128797553,1.692,0.618
41.15000016314356,11.250000123073216,1.69,0.59
41.15000016314356,11.350000117348882,1.755,0.675
41.15000016314356,11.450000111624547,1.786,0.676
41.15000016314356,11.55000010590021,1.82,0.695
41.15000016314356,11.650000100175877,1.794,0.643
41.15000016314356,11.75000009445154,1.812,0.653
41.15000016314356,11.850000088727205,1.815,0.562
41.15000016314356,11.95000008300287,1.895,0.586
41.15000016314356,12.050000077278533,1.986,0.639
41.15000016314356,12.150000071554198,2.023,0.525
41.15000016314356,12.250000065829862,2.077,0.483
41.15000016314356,12.350000060105527,2.133,0.477
41.15000016314356,12.450000054381192,2.204,0.538
41.15000016314356,12.550000048656855,2.253,0.572
41.15000016314356,12.65000004293252,2.289,0.711
41.15000016314356,12.750000037208183,2.4,0.795
41.15000016314356,12.85000003148385,2.523,0.892
41.15000016314356,12.950000025759516,2.675,0.994
41.15000016314356,13.050000020035178,2.718,0.846
41.15000016314356,13.150000014310844,2.423,0.491
41.15000016314356,13.250000008586508,2.452,0.453
41.15000016314356,13.350000002862172,2.508,0.45
41.15000016314356,13.449999997137835,2.574,0.504
41.15000016314356,13.5499999914135,2.602,0.561
41.15000016314356,13.649999985689163,2.691,0.65
41.15000016314356,13.74999997996483,2.861,0.877
41.15000016314356,13.849999974240497,2.982,0.794
41.15000016314356,13.94999996851616,3.057,0.734
41.15000016314356,14.049999962791825,3.098,0.669
41.15000016314356,14.14999995706749,3.14,0.643
41.15000016314356,14.249999951343153,3.156,0.623
41.15000016314356,14.349999945618816,3.194,0.68
41.15000016314356,14.449999939894482,3.231,0.496
41.15000016314356,14.549999934170144,3.153,0.492
41.15000016314356,14.649999928445812,3.084,0.542
41.15000016314356,14.749999922721477,3.028,0.54
41.15000016314356,14.84999991699714,2.849,0.512
41.15000016314356,14.949999911272805,2.738,0.544
41.25000015741922,10.050000191765244,1.878,0.433
41.25000015741922,10.150000186040907,1.855,0.46
41.25000015741922,10.250000180316572,1.821,0.49
41.25000015741922,10.350000174592235,1.773,0.478
41.25000015741922,10.450000168867902,1.737,0.489
41.25000015741922,10.550000163143563,1.69,0.445
41.25000015741922,10.65000015741923,1.649,0.399
41.25000015741922,10.750000151694897,1.65,0.442
41.25000015741922,10.85000014597056,1.688,0.474
41.25000015741922,10.950000140246225,1.67,0.52
41.25000015741922,11.050000134521888,1.727,0.662
41.25000015741922,11.150000128797553,1.72,0.634
41.25000015741922,11.250000123073216,1.682,0.564
41.25000015741922,11.350000117348882,1.757,0.617
41.25000015741922,11.450000111624547,1.802,0.666
41.25000015741922,11.55000010590021,1.838,0.662
41.25000015741922,11.650000100175877,1.831,0.68
41.25000015741922,11.75000009445154,1.851,0.639
41.25000015741922,11.850000088727205,1.869,0.615
41.25000015741922,11.95000008300287,1.923,0.607
41.25000015741922,12.050000077278533,2.01,0.635
41.25000015741922,12.150000071554198,2.057,0.616
41.25000015741922,12.250000065829862,2.112,0.468
41.25000015741922,12.350000060105527,2.187,0.531
41.25000015741922,12.450000054381192,2.228,0.51
41.25000015741922,12.550000048656855,2.314,0.604
41.25000015741922,12.65000004293252,2.384,0.633
41.25000015741922,12.750000037208183,2.431,0.846
41.25000015741922,12.85000003148385,2.573,0.907
41.25000015741922,12.950000025759516,2.374,0.647
41.25000015741922,13.050000020035178,2.558,0.557
41.25000015741922,13.150000014310844,2.592,0.521
41.25000015741922,13.250000008586508,2.607,0.532
41.25000015741922,13.350000002862172,2.677,0.567
41.25000015741922,13.449999997137835,2.749,0.647
41.25000015741922,13.5499999914135,2.858,0.807
41.25000015741922,13.649999985689163,2.96,0.9
41.25000015741922,13.74999997996483,2.988,0.959
41.25000015741922,13.849999974240497,3.046,0.961
41.25000015741922,13.94999996851616,3.093,0.876
41.25000015741922,14.049999962791825,3.119,0.784
41.25000015741922,14.14999995706749,3.125,0.784
41.25000015741922,14.249999951343153,3.139,0.641
41.25000015741922,14.349999945618816,3.226,0.666
41.25000015741922,14.449999939894482,3.207,0.587
41.25000015741922,14.549999934170144,3.121,0.577
41.25000015741922,14.649999928445812,3.039,0.608
41.25000015741922,14.749999922721477,2.942,0.53
41.25000015741922,14.84999991699714,2.789,0.416
41.25000015741922,14.949999911272805,2.585,0.392
41.35000015169489,10.050000191765244,1.82,0.389
41.35000015169489,10.150000186040907,1.816,0.468
41.35000015169489,10.250000180316572,1.755,0.416
41.35000015169489,10.350000174592235,1.712,0.389
41.35000015169489,10.450000168867902,1.694,0.386
41.35000015169489,10.550000163143563,1.666,0.38
41.35000015169489,10.65000015741923,1.627,0.35
41.35000015169489,10.750000151694897,1.643,0.452
41.35000015169489,10.85000014597056,1.668,0.429
41.35000015169489,10.950000140246225,1.708,0.513
41.35000015169489,11.050000134521888,1.705,0.533
41.35000015169489,11.150000128797553,1.725,0.555
41.35000015169489,11.250000123073216,1.72,0.587
41.35000015169489,11.350000117348882,1.761,0.676
41.35000015169489,11.450000111624547,1.78,0.663
41.35000015169489,11.55000010590021,1.834,0.689
41.35000015169489,11.650000100175877,1.887,0.714
41.35000015169489,11.75000009445154,1.877,0.684
41.35000015169489,11.850000088727205,1.881,0.644
41.35000015169489,11.95000008300287,1.924,0.608
41.35000015169489,12.050000077278533,1.993,0.621
41.35000015169489,12.150000071554198,2.062,0.502
41.35000015169489,12.250000065829862,2.083,0.548
41.35000015169489,12.350000060105527,2.112,0.539
41.35000015169489,12.450000054381192,2.251,0.584
41.35000015169489,12.550000048656855,2.4,0.646
41.35000015169489,12.65000004293252,2.216,0.561
41.35000015169489,12.750000037208183,2.415,0.704
41.35000015169489,12.85000003148385,2.478,0.717
41.35000015169489,12.950000025759516,2.555,0.734
41.35000015169489,13.050000020035178,2.59,0.595
41.35000015169489,13.150000014310844,2.645,0.477
41.35000015169489,13.250000008586508,2.708,0.516
41.35000015169489,13.350000002862172,2.739,0.576
41.35000015169489,13.449999997137835,2.853,0.647
41.35000015169489,13.5499999914135,2.928,0.728
41.35000015169489,13.649999985689163,3.08,0.851
41.35000015169489,13.74999997996483,3.048,0.882
41.35000015169489,13.849999974240497,3.071,0.852
41.35000015169489,13.94999996851616,3.062,0.798
41.35000015169489,14.049999962791825,3.102,0.813
41.35000015169489,14.14999995706749,3.08,0.822
41.35000015169489,14.249999951343153,3.081,0.702
41.35000015169489,14.349999945618816,3.154,0.696
41.35000015169489,14.449999939894482,3.244,0.635
